term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"wind solar biomass","wind solar biomass","23","1000","0.023","",""
"solar wind biomass","solar wind biomass","13","1000","0.013","",""
"sources wind solar","sources wind solar","9","1000","0.009","",""
"biomass power plant","biomass power plant","9","1000","0.009","",""
"wind solar geothermal","wind solar geothermal","7","1000","0.007","",""
"renewable energy sources","renewable energy sources","7","1000","0.007","",""
"energy renewable sources","energy renewable sources","7","1000","0.007","",""
"fossil fuels biomass","fossil fuels biomass","6","1000","0.006","",""
"carbon capture storage","carbon capture storage","6","1000","0.006","",""
"wind biomass geothermal","wind biomass geothermal","5","1000","0.005","",""
"solar wind geothermal","solar wind geothermal","5","1000","0.005","",""
"solar geothermal biomass","solar geothermal biomass","5","1000","0.005","",""
"renewable sources wind","renewable sources wind","5","1000","0.005","",""
"renewable energy biomass","renewable energy biomass","5","1000","0.005","",""
"greenhouse gas emissions","greenhouse gas emissions","5","1000","0.005","",""
"energy wind solar","energy wind solar","5","1000","0.005","",""
"energy sources wind","energy sources wind","5","1000","0.005","",""
"coal natural gas","coal natural gas","5","1000","0.005","",""
"wind power biomass","wind power biomass","4","1000","0.004","",""
"wind geothermal biomass","wind geothermal biomass","4","1000","0.004","",""
"sources solar wind","sources solar wind","4","1000","0.004","",""
"solar wind energy","solar wind energy","4","1000","0.004","",""
"renewable energy wind","renewable energy wind","4","1000","0.004","",""
"renewable energy source","renewable energy source","4","1000","0.004","",""
"renewable energy credits","renewable energy credits","4","1000","0.004","",""
"including wind solar","including wind solar","4","1000","0.004","",""
"european union eu","european union eu","4","1000","0.004","",""
"cannabis hemp biomass","cannabis hemp biomass","4","1000","0.004","",""
"burning fossil fuels","burning fossil fuels","4","1000","0.004","",""
"biomass carbon neutral","biomass carbon neutral","4","1000","0.004","",""
"woody biomass energy","woody biomass energy","3","1000","0.003","",""
"wood chips biomass","wood chips biomass","3","1000","0.003","",""
"wind power solar","wind power solar","3","1000","0.003","",""
"union eu good","union eu good","3","1000","0.003","",""
"telecom power system","telecom power system","3","1000","0.003","",""
"sources including wind","sources including wind","3","1000","0.003","",""
"solar biomass energy","solar biomass energy","3","1000","0.003","",""
"scripps institution oceanography","scripps institution oceanography","3","1000","0.003","",""
"renewable sources solar","renewable sources solar","3","1000","0.003","",""
"renewable portfolio standards","renewable portfolio standards","3","1000","0.003","",""
"remove carbon atmosphere","remove carbon atmosphere","3","1000","0.003","",""
"reducing carbon emissions","reducing carbon emissions","3","1000","0.003","",""
"purpose-built facility kelowna","purpose-built facility kelowna","3","1000","0.003","",""
"process european union","process european union","3","1000","0.003","",""
"proceedings national academy","proceedings national academy","3","1000","0.003","",""
"practices gmp compliant","practices gmp compliant","3","1000","0.003","",""
"power system market","power system market","3","1000","0.003","",""
"power plant north","power plant north","3","1000","0.003","",""
"phytocannabinoid-rich biomass originator","phytocannabinoid-rich biomass originator","3","1000","0.003","",""
"percent fish biomass","percent fish biomass","3","1000","0.003","",""
"paris climate agreement","paris climate agreement","3","1000","0.003","",""
"natural gas nuclear","natural gas nuclear","3","1000","0.003","",""
"natural gas coal","natural gas coal","3","1000","0.003","",""
"national academy sciences","national academy sciences","3","1000","0.003","",""
"manufacturing practices gmp","manufacturing practices gmp","3","1000","0.003","",""
"kg dried cannabis","kg dried cannabis","3","1000","0.003","",""
"kelowna british columbia","kelowna british columbia","3","1000","0.003","",""
"including solar wind","including solar wind","3","1000","0.003","",""
"hemp biomass purpose-built","hemp biomass purpose-built","3","1000","0.003","",""
"good manufacturing practices","good manufacturing practices","3","1000","0.003","",""
"global telecom power","global telecom power","3","1000","0.003","",""
"geothermal wind solar","geothermal wind solar","3","1000","0.003","",""
"fossil fuel biomass","fossil fuel biomass","3","1000","0.003","",""
"forest biomass industry","forest biomass industry","3","1000","0.003","",""
"facility kelowna british","facility kelowna british","3","1000","0.003","",""
"eu good manufacturing","eu good manufacturing","3","1000","0.003","",""
"energy including solar","energy including solar","3","1000","0.003","",""
"dried cannabis hemp","dried cannabis hemp","3","1000","0.003","",""
"columbia process european","columbia process european","3","1000","0.003","",""
"capacity 425,000 kg","capacity 425,000 kg","3","1000","0.003","",""
"canada annual capacity","canada annual capacity","3","1000","0.003","",""
"burning woody biomass","burning woody biomass","3","1000","0.003","",""
"british columbia process","british columbia process","3","1000","0.003","",""
"biomass solar wind","biomass solar wind","3","1000","0.003","",""
"biomass purpose-built facility","biomass purpose-built facility","3","1000","0.003","",""
"biomass power plants","biomass power plants","3","1000","0.003","",""
"biomass originator processor","biomass originator processor","3","1000","0.003","",""
"biomass energy wood","biomass energy wood","3","1000","0.003","",""
"biomass energy production","biomass energy production","3","1000","0.003","",""
"biomass energy plants","biomass energy plants","3","1000","0.003","",""
"annual capacity 425,000","annual capacity 425,000","3","1000","0.003","",""
"alternative energy sources","alternative energy sources","3","1000","0.003","",""
"425,000 kg dried","425,000 kg dried","3","1000","0.003","",""
"world's leading scientists","world's leading scientists","2","1000","0.002","",""
"world's greenhouse gas","world's greenhouse gas","2","1000","0.002","",""
"world health organization","world health organization","2","1000","0.002","",""
"woody biomass electrical","woody biomass electrical","2","1000","0.002","",""
"wood pellets burned","wood pellets burned","2","1000","0.002","",""
"wood pellets biomass","wood pellets biomass","2","1000","0.002","",""
"wood pellet production","wood pellet production","2","1000","0.002","",""
"wood pellet producer","wood pellet producer","2","1000","0.002","",""
"wood pellet plant","wood pellet plant","2","1000","0.002","",""
"wood biomass sources","wood biomass sources","2","1000","0.002","",""
"wood agricultural waste","wood agricultural waste","2","1000","0.002","",""
"wind water biomass","wind water biomass","2","1000","0.002","",""
"wind farms solar","wind farms solar","2","1000","0.002","",""
"wind biomass hydroelectric","wind biomass hydroelectric","2","1000","0.002","",""
"wind biomass energy","wind biomass energy","2","1000","0.002","",""
"weight predators removed","weight predators removed","2","1000","0.002","",""
"weight marine animal","weight marine animal","2","1000","0.002","",""
"weight living species","weight living species","2","1000","0.002","",""
"view original content","view original content","2","1000","0.002","",""
"vertically integrated phytocannabinoid-rich","vertically integrated phytocannabinoid-rich","2","1000","0.002","",""
"vermont's largest city","vermont's largest city","2","1000","0.002","",""
"vented gas coal-bed","vented gas coal-bed","2","1000","0.002","",""
"variety renewable sources","variety renewable sources","2","1000","0.002","",""
"variety natural gas","variety natural gas","2","1000","0.002","",""
"valens largest third-party","valens largest third-party","2","1000","0.002","",""
"tuesday's study proceedings","tuesday's study proceedings","2","1000","0.002","",""
"truck pulls enviva","truck pulls enviva","2","1000","0.002","",""
"trees remove carbon","trees remove carbon","2","1000","0.002","",""
"tree planting logic","tree planting logic","2","1000","0.002","",""
"tree height forests","tree height forests","2","1000","0.002","",""
"transform energy system","transform energy system","2","1000","0.002","",""
"total weight marine","total weight marine","2","1000","0.002","",""
"total weight living","total weight living","2","1000","0.002","",""
"total electricity generation","total electricity generation","2","1000","0.002","",""
"third-party extraction company","third-party extraction company","2","1000","0.002","",""
"terms biomass weight","terms biomass weight","2","1000","0.002","",""
"system fossil fuel","system fossil fuel","2","1000","0.002","",""
"sustainably energies wind","sustainably energies wind","2","1000","0.002","",""
"success add list","success add list","2","1000","0.002","",""
"study scripps institution","study scripps institution","2","1000","0.002","",""
"study proceedings national","study proceedings national","2","1000","0.002","",""
"study found biomass","study found biomass","2","1000","0.002","",""
"struggling dispose woody","struggling dispose woody","2","1000","0.002","",""
"streams including pipeline","streams including pipeline","2","1000","0.002","",""
"stoves million premature","stoves million premature","2","1000","0.002","",""
"stay rate loss","stay rate loss","2","1000","0.002","",""
"species rose percent","species rose percent","2","1000","0.002","",""
"sources wind water","sources wind water","2","1000","0.002","",""
"sources fossil fuel","sources fossil fuel","2","1000","0.002","",""
"solar hydroelectric biomass","solar hydroelectric biomass","2","1000","0.002","",""
"solar biomass nuclear","solar biomass nuclear","2","1000","0.002","",""
"solar biomass geothermal","solar biomass geothermal","2","1000","0.002","",""
"socially conscious achievements","socially conscious achievements","2","1000","0.002","",""
"slow climate change","slow climate change","2","1000","0.002","",""
"ski hotel fahrenheit","ski hotel fahrenheit","2","1000","0.002","",""
"sage-grouse addition provision","sage-grouse addition provision","2","1000","0.002","",""
"result large increase","result large increase","2","1000","0.002","",""
"research gpr vertically","research gpr vertically","2","1000","0.002","",""
"replace coal biomass","replace coal biomass","2","1000","0.002","",""
"renewable sources including","renewable sources including","2","1000","0.002","",""
"renewable resources including","renewable resources including","2","1000","0.002","",""
"renewable portfolio standard","renewable portfolio standard","2","1000","0.002","",""
"renewable heat incentive","renewable heat incentive","2","1000","0.002","",""
"renewable energy power","renewable energy power","2","1000","0.002","",""
"renewable energy jobs","renewable energy jobs","2","1000","0.002","",""
"renewable energy including","renewable energy including","2","1000","0.002","",""
"removing predators result","removing predators result","2","1000","0.002","",""
"rely biomass stoves","rely biomass stoves","2","1000","0.002","",""
"relevance current policies","relevance current policies","2","1000","0.002","",""
"releases carbon dioxide","releases carbon dioxide","2","1000","0.002","",""
"reef total weight","reef total weight","2","1000","0.002","",""
"reef fish biomass","reef fish biomass","2","1000","0.002","",""
"reduce greenhouse gas","reduce greenhouse gas","2","1000","0.002","",""
"reduce carbon emissions","reduce carbon emissions","2","1000","0.002","",""
"rate loss biomass","rate loss biomass","2","1000","0.002","",""
"purchase sustainable biomass","purchase sustainable biomass","2","1000","0.002","",""
"pulmo reef total","pulmo reef total","2","1000","0.002","",""
"pulls enviva biomass","pulls enviva biomass","2","1000","0.002","",""
"provisions involve protections","provisions involve protections","2","1000","0.002","",""
"provision carbon neutrality","provision carbon neutrality","2","1000","0.002","",""
"protocol grandfathered paris","protocol grandfathered paris","2","1000","0.002","",""
"protections greater sage-grouse","protections greater sage-grouse","2","1000","0.002","",""
"proposed biomass plant","proposed biomass plant","2","1000","0.002","",""
"proposed biomass facility","proposed biomass facility","2","1000","0.002","",""
"promote tree planting","promote tree planting","2","1000","0.002","",""
"process variety natural","process variety natural","2","1000","0.002","",""
"process biomass cogeneration","process biomass cogeneration","2","1000","0.002","",""
"premature deaths annually","premature deaths annually","2","1000","0.002","",""
"predators result large","predators result large","2","1000","0.002","",""
"power renewable sources","power renewable sources","2","1000","0.002","",""
"power plants burn","power plants burn","2","1000","0.002","",""
"power generators burn","power generators burn","2","1000","0.002","",""
"power biomass boiler","power biomass boiler","2","1000","0.002","",""
"power billion kwh","power billion kwh","2","1000","0.002","",""
"populations fact inefficient","populations fact inefficient","2","1000","0.002","",""
"plants energy environmentalists","plants energy environmentalists","2","1000","0.002","",""
"planting logic trees","planting logic trees","2","1000","0.002","",""
"plant northampton north","plant northampton north","2","1000","0.002","",""
"plant north yorkshire","plant north yorkshire","2","1000","0.002","",""
"plant burns wood","plant burns wood","2","1000","0.002","",""
"plant biomass soil","plant biomass soil","2","1000","0.002","",""
"plant animal species","plant animal species","2","1000","0.002","",""
"pipeline gas gas","pipeline gas gas","2","1000","0.002","",""
"pinnacle renewable energy","pinnacle renewable energy","2","1000","0.002","",""
"petroleum natural gas","petroleum natural gas","2","1000","0.002","",""
"percent total biomass","percent total biomass","2","1000","0.002","",""
"percent renewable energy","percent renewable energy","2","1000","0.002","",""
"percent electricity renewable","percent electricity renewable","2","1000","0.002","",""
"percent electricity produced","percent electricity produced","2","1000","0.002","",""
"people rely biomass","people rely biomass","2","1000","0.002","",""
"pellet plant northampton","pellet plant northampton","2","1000","0.002","",""
"originator processor founded","originator processor founded","2","1000","0.002","",""
"original content download","original content download","2","1000","0.002","",""
"ores fossil fuels","ores fossil fuels","2","1000","0.002","",""
"open-air barbecues garbage","open-air barbecues garbage","2","1000","0.002","",""
"offshore wind farm","offshore wind farm","2","1000","0.002","",""
"oceanography california found","oceanography california found","2","1000","0.002","",""
"nuclear hydro geothermal","nuclear hydro geothermal","2","1000","0.002","",""
"northampton north carolina","northampton north carolina","2","1000","0.002","",""
"north carolina's energy","north carolina's energy","2","1000","0.002","",""
"noncarbon emitting sources","noncarbon emitting sources","2","1000","0.002","",""
"new success add","new success add","2","1000","0.002","",""
"new subsidy scheme","new subsidy scheme","2","1000","0.002","",""
"neutrality forest biomass","neutrality forest biomass","2","1000","0.002","",""
"natural gas streams","natural gas streams","2","1000","0.002","",""
"natural gas percent","natural gas percent","2","1000","0.002","",""
"natural gas ccs","natural gas ccs","2","1000","0.002","",""
